time	size	parameter
336	a-50	decroissant
300	a-50	decroissant
388	a-50	decroissant
348	a-50	decroissant
312	a-50	decroissant
341	a-50	decroissant
387	a-50	decroissant
346	a-50	decroissant
311	a-50	decroissant
340	a-50	decroissant
352	a-50	decroissant
345	a-50	decroissant
338	a-50	decroissant
346	a-50	decroissant
339	a-50	decroissant
350	a-50	decroissant
321	a-50	decroissant
339	a-50	decroissant
353	a-50	decroissant
354	a-50	decroissant
346	a-50	decroissant
347	a-50	decroissant
360	a-50	decroissant
348	a-50	decroissant
335	a-50	decroissant
353	a-50	decroissant
333	a-50	decroissant
329	a-50	decroissant
463	a-50	decroissant
382	a-50	decroissant
386	a-50	decroissant
351	a-50	decroissant
331	a-50	decroissant
340	a-50	decroissant
313	a-50	decroissant
306	a-50	decroissant
321	a-50	decroissant
325	a-50	decroissant
296	a-50	decroissant
300	a-50	decroissant
300	a-50	decroissant
295	a-50	decroissant
335	a-50	decroissant
339	a-50	decroissant
322	a-50	decroissant
296	a-50	decroissant
364	a-50	decroissant
442	a-50	decroissant
340	a-50	decroissant
430	a-50	decroissant
419	a-50	decroissant
322	a-50	decroissant
340	a-50	decroissant
356	a-50	decroissant
378	a-50	decroissant
340	a-50	decroissant
334	a-50	decroissant
357	a-50	decroissant
352	a-50	decroissant
340	a-50	decroissant
405	a-50	decroissant
337	a-50	decroissant
391	a-50	decroissant
338	a-50	decroissant
331	a-50	decroissant
379	a-50	decroissant
362	a-50	decroissant
341	a-50	decroissant
368	a-50	decroissant
331	a-50	decroissant
377	a-50	decroissant
382	a-50	decroissant
332	a-50	decroissant
364	a-50	decroissant
335	a-50	decroissant
363	a-50	decroissant
308	a-50	decroissant
348	a-50	decroissant
314	a-50	decroissant
325	a-50	decroissant
308	a-50	decroissant
331	a-50	decroissant
295	a-50	decroissant
344	a-50	decroissant
328	a-50	decroissant
323	a-50	decroissant
290	a-50	decroissant
295	a-50	decroissant
323	a-50	decroissant
299	a-50	decroissant
327	a-50	decroissant
299	a-50	decroissant
299	a-50	decroissant
291	a-50	decroissant
312	a-50	decroissant
406	a-50	decroissant
423	a-50	decroissant
349	a-50	decroissant
463	a-50	decroissant
371	a-50	decroissant
367	a-50	decroissant
363	a-50	decroissant
347	a-50	decroissant
378	a-50	decroissant
335	a-50	decroissant
297	a-50	decroissant
444	a-50	decroissant
440	a-50	decroissant
327	a-50	decroissant
372	a-50	decroissant
329	a-50	decroissant
345	a-50	decroissant
337	a-50	decroissant
357	a-50	decroissant
338	a-50	decroissant
327	a-50	decroissant
332	a-50	decroissant
351	a-50	decroissant
354	a-50	decroissant
324	a-50	decroissant
329	a-50	decroissant
350	a-50	decroissant
360	a-50	decroissant
329	a-50	decroissant
300	a-50	decroissant
353	a-50	decroissant
334	a-50	decroissant
375	a-50	decroissant
326	a-50	decroissant
350	a-50	decroissant
342	a-50	decroissant
345	a-50	decroissant
300	a-50	decroissant
324	a-50	decroissant
343	a-50	decroissant
338	a-50	decroissant
354	a-50	decroissant
320	a-50	decroissant
347	a-50	decroissant
362	a-50	decroissant
342	a-50	decroissant
289	a-50	decroissant
334	a-50	decroissant
320	a-50	decroissant
330	a-50	decroissant
309	a-50	decroissant
310	a-50	decroissant
298	a-50	decroissant
370	a-50	decroissant
333	a-50	decroissant
346	a-50	decroissant
393	a-50	decroissant
336	a-50	decroissant
317	a-50	decroissant
331	a-50	decroissant
338	a-50	decroissant
313	a-50	decroissant
348	a-50	decroissant
417	a-50	decroissant
358	a-50	decroissant
355	a-50	decroissant
458	a-50	decroissant
360	a-50	decroissant
352	a-50	decroissant
341	a-50	decroissant
307	a-50	decroissant
303	a-50	decroissant
320	a-50	decroissant
343	a-50	decroissant
328	a-50	decroissant
324	a-50	decroissant
371	a-50	decroissant
350	a-50	decroissant
351	a-50	decroissant
352	a-50	decroissant
344	a-50	decroissant
307	a-50	decroissant
342	a-50	decroissant
321	a-50	decroissant
333	a-50	decroissant
322	a-50	decroissant
303	a-50	decroissant
332	a-50	decroissant
303	a-50	decroissant
330	a-50	decroissant
318	a-50	decroissant
360	a-50	decroissant
361	a-50	decroissant
356	a-50	decroissant
325	a-50	decroissant
355	a-50	decroissant
321	a-50	decroissant
298	a-50	decroissant
320	a-50	decroissant
290	a-50	decroissant
331	a-50	decroissant
431	a-50	decroissant
356	a-50	decroissant
338	a-50	decroissant
332	a-50	decroissant
362	a-50	decroissant
325	a-50	decroissant
354	a-50	decroissant
